------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.547114382868E+00

------ Current Surface: Coil-Plasma separation =   1.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      2     6 -4.457552576068E-05  5.831854108824E-06  0.000000000000E+00  0.000000000000E+00
      2     5  9.080967692713E-05  3.893339648921E-05  0.000000000000E+00  0.000000000000E+00
      2     4  1.013491063792E-04  9.185462470889E-05  0.000000000000E+00  0.000000000000E+00
      2     3 -1.876654267673E-04 -2.424708575559E-04  0.000000000000E+00  0.000000000000E+00
      2     2 -2.105659447188E-03 -2.050918816747E-03  0.000000000000E+00  0.000000000000E+00
      2     1 -4.373460127241E-03 -4.344802157609E-03  0.000000000000E+00  0.000000000000E+00
      2     0  2.631317825025E-03  2.766091865492E-03  0.000000000000E+00  0.000000000000E+00
      2    -1  1.509582148378E-02  1.607704957530E-02  0.000000000000E+00  0.000000000000E+00
      2    -2 -8.969467940650E-04 -3.908374340246E-03  0.000000000000E+00  0.000000000000E+00
      2    -3  9.030873027791E-04 -3.082463532750E-03  0.000000000000E+00  0.000000000000E+00
      2    -4  2.274418437416E-04 -9.095322411891E-04  0.000000000000E+00  0.000000000000E+00
      2    -5  2.495589306087E-04 -4.548155797286E-04  0.000000000000E+00  0.000000000000E+00
      2    -6 -1.573748404942E-04  1.038545975880E-04  0.000000000000E+00  0.000000000000E+00
      2    -7 -2.063009115864E-04  1.455290082185E-04  0.000000000000E+00  0.000000000000E+00
      2    -8 -1.476936956955E-05  9.778613832366E-05  0.000000000000E+00  0.000000000000E+00
      2    -9  1.501810235293E-04 -2.427849492991E-06  0.000000000000E+00  0.000000000000E+00
      2   -10 -7.698252500163E-07 -6.583018945023E-05  0.000000000000E+00  0.000000000000E+00
      2   -11 -5.161065807937E-05  6.954859221501E-05  0.000000000000E+00  0.000000000000E+00
      2   -12  2.162884350032E-05 -4.985576843488E-05  0.000000000000E+00  0.000000000000E+00
      2   -13 -2.303929881596E-05  2.679369457679E-05  0.000000000000E+00  0.000000000000E+00
      2   -14  8.387900318119E-06 -7.225469018390E-06  0.000000000000E+00  0.000000000000E+00
      2   -15 -7.477213433556E-06 -1.675786892360E-06  0.000000000000E+00  0.000000000000E+00
      2   -16 -2.294080191016E-06  1.617301321160E-06  0.000000000000E+00  0.000000000000E+00
      2   -17  7.179069176425E-06 -2.794939825438E-07  0.000000000000E+00  0.000000000000E+00
      2   -18 -3.845477541700E-06 -2.124538936048E-06  0.000000000000E+00  0.000000000000E+00
      2   -19 -3.885972647524E-06  5.214418033124E-06  0.000000000000E+00  0.000000000000E+00
      2   -20  2.597178566822E-06 -2.586437276695E-06  0.000000000000E+00  0.000000000000E+00
      2   -21  3.781600786302E-06  1.921862490916E-06  0.000000000000E+00  0.000000000000E+00
      2   -22 -2.482317597714E-06  3.031409452365E-06  0.000000000000E+00  0.000000000000E+00
      2   -23 -7.615201122313E-07  3.203586851907E-07  0.000000000000E+00  0.000000000000E+00
      2   -24 -1.680522772592E-06 -9.675731016331E-07  0.000000000000E+00  0.000000000000E+00
      3    24  1.354802146759E-07  1.459244968567E-06  0.000000000000E+00  0.000000000000E+00
      3    23  4.435949169744E-07  2.122191428316E-06  0.000000000000E+00  0.000000000000E+00
      3    22 -3.923404286760E-07  2.175640771912E-06  0.000000000000E+00  0.000000000000E+00
      3    21 -1.673530388368E-06  3.187360958866E-07  0.000000000000E+00  0.000000000000E+00
      3    20 -2.769225467811E-07  9.203294050628E-07  0.000000000000E+00  0.000000000000E+00
      3    19 -1.021750031504E-06 -2.329096097590E-06  0.000000000000E+00  0.000000000000E+00
